map_seed,class_id,recall,recall_nominal,excess
66,51,0.68,0.63,-0.05
66,52,0.46,0.62,0.16
66,53,0.93,0.95,0.02
66,54,0.77,0.82,0.05
66,55,0.28,0.41,0.13
66,56,0.84,0.86,0.02
66,57,0.74,0.75,0.01
66,58,0.84,0.85,0.01
66,59,0.63,0.71,0.08
66,60,0.77,0.88,0.11
66,61,0.57,0.72,0.15
66,62,0.67,0.79,0.12
66,63,0.51,0.68,0.17
66,64,0.55,0.54,-0.01
66,65,0.51,0.66,0.15
66,66,0.65,0.78,0.13
66,67,0.4,0.62,0.22
66,68,0.85,0.93,0.08
66,69,0.72,0.79,0.07
66,70,0.62,0.71,0.09
66,71,0.74,0.87,0.13
66,72,0.44,0.53,0.09
66,73,0.49,0.57,0.08
66,74,0.46,0.58,0.12
66,75,0.81,0.87,0.06
66,76,0.84,0.89,0.05
66,77,0.71,0.76,0.05
66,78,0.57,0.62,0.05
66,79,0.81,0.88,0.07
66,80,0.47,0.57,0.1
66,81,0.86,0.81,-0.05
66,82,0.91,0.91,0.0
66,83,0.48,0.51,0.03
66,84,0.53,0.62,0.09
66,85,0.79,0.87,0.08
66,86,0.6,0.71,0.11
66,87,0.85,0.8,-0.05
66,88,0.79,0.78,-0.01
66,89,0.92,0.93,0.01
66,90,0.7,0.83,0.13
66,91,0.56,0.72,0.16
66,92,0.74,0.58,-0.16
66,93,0.46,0.57,0.11
66,94,0.88,0.93,0.05
66,95,0.66,0.74,0.08
66,96,0.43,0.57,0.14
66,97,0.66,0.75,0.09
66,98,0.41,0.38,-0.03
66,99,0.68,0.77,0.09
77,0,0.91,0.91,0.0
77,1,0.86,0.86,0.0
77,2,0.81,0.78,-0.03
77,3,0.56,0.55,-0.01
77,4,0.61,0.61,0.0
77,5,0.81,0.85,0.04
77,6,0.72,0.76,0.04
77,7,0.75,0.76,0.01
77,8,0.9,0.89,-0.01
77,9,0.82,0.8,-0.02
77,10,0.56,0.51,-0.05
77,11,0.4,0.44,0.04
77,12,0.81,0.85,0.04
77,13,0.61,0.63,0.02
77,14,0.78,0.76,-0.02
77,15,0.7,0.8,0.1
77,16,0.81,0.82,0.01
77,17,0.82,0.86,0.04
77,18,0.69,0.69,0.0
77,19,0.72,0.69,-0.03
77,20,0.82,0.83,0.01
77,21,0.79,0.8,0.01
77,22,0.7,0.73,0.03
77,23,0.8,0.78,-0.02
77,24,0.83,0.83,0.0
77,25,0.59,0.62,0.03
77,26,0.67,0.67,0.0
77,27,0.47,0.52,0.05
77,28,0.77,0.79,0.02
77,29,0.67,0.68,0.01
77,30,0.7,0.63,-0.07
77,31,0.68,0.76,0.08
77,32,0.63,0.6,-0.03
77,33,0.6,0.62,0.02
77,34,0.63,0.68,0.05
77,35,0.49,0.42,-0.07
77,36,0.72,0.73,0.01
77,37,0.82,0.78,-0.04
77,38,0.77,0.74,-0.03
77,39,0.88,0.84,-0.04
77,40,0.63,0.69,0.06
77,41,0.71,0.77,0.06
77,42,0.73,0.79,0.06
77,43,0.78,0.77,-0.01
77,44,0.4,0.43,0.03
77,45,0.71,0.59,-0.12
77,46,0.62,0.6,-0.02
77,47,0.69,0.7,0.01
77,48,0.9,0.88,-0.02
77,49,0.82,0.8,-0.02
77,50,0.52,0.54,0.02
77,51,0.65,0.63,-0.02
77,52,0.67,0.62,-0.05
77,53,0.95,0.95,0.0
77,54,0.8,0.82,0.02
77,55,0.43,0.41,-0.02
77,56,0.87,0.86,-0.01
77,57,0.76,0.75,-0.01
77,58,0.8,0.85,0.05
77,59,0.68,0.71,0.03
77,60,0.83,0.88,0.05
77,61,0.66,0.72,0.06
77,62,0.87,0.79,-0.08
77,63,0.68,0.68,0.0
77,64,0.57,0.54,-0.03
77,65,0.62,0.66,0.04
77,66,0.77,0.78,0.01
77,67,0.6,0.62,0.02
77,68,0.93,0.93,0.0
77,69,0.77,0.79,0.02
77,70,0.75,0.71,-0.04
77,71,0.83,0.87,0.04
77,72,0.48,0.53,0.05
77,73,0.59,0.57,-0.02
77,74,0.59,0.58,-0.01
77,75,0.85,0.87,0.02
77,76,0.86,0.89,0.03
77,77,0.74,0.76,0.02
77,78,0.6,0.62,0.02
